名称,家賃,管理費,家賃+管理費,敷金,礼金,間取り,面積,向き,種別,築年,住所,交通,目的地までの交通機関URL,SUUMOのURL
サニーフォレスト藤原参番館 2階,87000,8000,95000,敷8.7万円,礼-,2DK,54.26m2,南,マンション,築20年,千葉県船橋市藤原１,ＪＲ武蔵野線/船橋法典駅 歩3分 or 東武野田線/塚田駅 歩28分 or ＪＲ総武線/西船橋駅 歩40分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市藤原１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280441221/
サニーフォレスト藤原参番館 2階,87000,8000,95000,敷8.7万円,礼-,2DK,53.1m2,南,マンション,築20年,千葉県船橋市藤原１,ＪＲ武蔵野線/船橋法典駅 歩3分 or 京成本線/京成西船駅 バス15分 (バス停)藤原町 歩9分 or 東武野田線/塚田駅 歩30分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市藤原１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280627727/
鎌取 1LDK 6階,87000,8800,95800,敷-,礼17.4万円,1LDK,46.64m2,南西,マンション,新築,千葉県千葉市緑区おゆみ野３,ＪＲ外房線/鎌取駅 歩3分 or 京成千原線/学園前駅 歩29分 or 京成千原線/おゆみ野駅 歩30分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県千葉市緑区おゆみ野３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100277824651/
アートレジデンス川口 2階,87000,10000,97000,敷8.7万円,礼8.7万円,1LDK,40.12m2,南,マンション,築5年,埼玉県川口市元郷２,埼玉高速鉄道/川口元郷駅 歩5分 or ＪＲ京浜東北線/川口駅 歩20分 or 東京メトロ南北線/赤羽岩淵駅 歩28分,https://www.google.com/maps/dir/?api=1&language=ja&origin=埼玉県川口市元郷２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281369171/
ザ・サバービア４１２ 8階,88000,8000,96000,敷-,礼8.8万円,1LDK,42.61m2,北東,マンション,築12年,千葉県流山市南流山１,つくばエクスプレス/南流山駅 歩2分 or ＪＲ常磐線/新松戸駅 歩29分 or 流鉄流山線/鰭ヶ崎駅 歩10分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県流山市南流山１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100279119383/
ＬＥ－ＣＩＥＬ　ＭＫ 2階,88000,8000,96000,敷-,礼-,1LDK,42.49m2,北西,マンション,新築,千葉県船橋市飯山満町２,東葉高速鉄道/飯山満駅 歩1分 or 新京成線/前原駅 歩16分 or ＪＲ総武線/東船橋駅 歩26分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市飯山満町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100282198610/
綾瀬レジデンス 3階,88000,10000,98000,敷-,礼-,2DK,44.55m2,西,マンション,築45年,東京都足立区綾瀬３,東京メトロ千代田線/綾瀬駅 歩4分 or つくばエクスプレス/青井駅 歩17分 or 東京メトロ千代田線/北綾瀬駅 歩23分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都足立区綾瀬３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100274491480/
ルネス　カトレアコート 2階,89000,6000,95000,敷17.8万円,礼17.8万円,2LDK,51.84m2,南,マンション,築16年,埼玉県川越市野田町１,東武東上線/川越市駅 歩5分 or 東武東上線/川越駅 歩15分 or 西武新宿線/本川越駅 歩15分,https://www.google.com/maps/dir/?api=1&language=ja&origin=埼玉県川越市野田町１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280919421/
東神奈川 2DK 3階,89000,7000,96000,敷8.9万円,礼8.9万円,2DK,41.2m2,南西,マンション,築26年,神奈川県横浜市神奈川区西神奈川３,ＪＲ京浜東北線/東神奈川駅 歩11分 or 東急東横線/東白楽駅 歩5分 or 東急東横線/白楽駅 歩10分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県横浜市神奈川区西神奈川３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280843046/
リバーデール 4階,89000,8000,97000,敷8.9万円,礼8.9万円,1LDK,50.52m2,南西,マンション,築19年,神奈川県大和市中央林間３,東急田園都市線/中央林間駅 歩5分 or 小田急江ノ島線/南林間駅 歩20分 or 小田急江ノ島線/東林間駅 歩21分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県大和市中央林間３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280379003/
ＬＥ－ＣＩＥＬ ＭＫ 2階,89000,8000,97000,敷-,礼-,1LDK,42.49m2,北西,マンション,新築,千葉県船橋市飯山満町２,東葉高速鉄道/飯山満駅 歩1分 or 新京成線/高根公団駅 歩29分 or 新京成バス/飯山満駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市飯山満町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100265672702/
北綾瀬 2DK 4階,90000,5000,95000,敷-,礼-,2DK,47.4m2,南,マンション,築24年,東京都足立区谷中４,東京メトロ千代田線/北綾瀬駅 歩5分 or つくばエクスプレス/六町駅 歩18分 or つくばエクスプレス/青井駅 歩25分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都足立区谷中４&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281091610/
反町 1LDK 2階,90000,5000,95000,敷18万円,礼9万円,1LDK,46.2m2,南西,マンション,築31年,神奈川県横浜市神奈川区反町１,東急東横線/反町駅 歩2分 or 京急本線/神奈川駅 歩7分 or ＪＲ京浜東北線/東神奈川駅 歩9分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県横浜市神奈川区反町１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100270341103/
クリオ新杉田駅前 2階,90000,5000,95000,敷9万円,礼9万円,2DK,45.15m2,-,マンション,築19年,神奈川県横浜市磯子区新杉田町,ＪＲ根岸線/新杉田駅 歩3分 or 京急本線/杉田駅 歩8分 or シーサイドライン/南部市場駅 歩15分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県横浜市磯子区新杉田町&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280217266/
Rio Grande(リオグランデ） 7階,90000,5000,95000,敷-,礼9万円,1LDK,44.18m2,南,マンション,築9年,茨城県つくば市島名,つくばエクスプレス/万博記念公園駅 歩4分 or つくばエクスプレス/みどりの駅 歩49分 or つくばエクスプレス/研究学園駅 歩58分,https://www.google.com/maps/dir/?api=1&language=ja&origin=茨城県つくば市島名&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100277670977/
Rio Grande 7階,90000,5000,95000,敷-,礼9万円,1LDK,44.18m2,南,マンション,築9年,茨城県つくば市島名諏訪,つくばエクスプレス/万博記念公園駅 歩3分,https://www.google.com/maps/dir/?api=1&language=ja&origin=茨城県つくば市島名諏訪&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100277065770/
Ｙａｍａｔｏ海神駅前 2階,90000,5000,95000,敷9万円,礼9万円,1LDK,40m2,東,マンション,築3年,千葉県船橋市海神６,京成本線/海神駅 歩1分 or ＪＲ総武線/西船橋駅 歩19分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市海神６&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281267959/
